,1955,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
인구성장률,1.07,3.00,2.97,2.86,2.78,2.62,2.54,2.51,2.34,2.32,2.26,2.18,1.97,1.88,1.77,1.71,1.68,1.60,1.56,1.52,1.52,1.56,1.56,1.55,1.47,1.23,0.98,0.99,0.99,0.98,0.99,0.99,0.99,1.04,1.02,1.01,1.01,0.95,0.94,0.72,0.71,0.84,0.77,0.58,0.52,0.40,0.21,0.53,0.51,0.76,0.51,0.50,0.77,0.53,0.46,0.63,0.53,0.40,0.28,0.43,0.35,0.14,-0.18,-0.23
