기온,수도권 순수 기온반응도,수도권 시간 기온반응도,지방권 순수 기온반응도,지방권 시간 기온반응도,수도권 기온반응도,동남권 기온반응도,대경권 기온반응도,충청권 기온반응도,호남권 기온반응도
-14,0.93199,0.05982,-0.61958,1.14921,0.27796,0.57089,0.32146,0.40018,0.4543
-13.9,0.93096,0.05995,-0.60304,1.13795,0.27896,0.56737,0.3192,0.3985,0.45181
-13.8,0.92999,0.06005,-0.58657,1.12669,0.27993,0.56385,0.31695,0.39683,0.44932
-13.7,0.92906,0.06011,-0.57019,1.11545,0.28086,0.56033,0.31469,0.39514,0.44682
-13.6,0.92819,0.06013,-0.55388,1.10422,0.28175,0.55681,0.31244,0.39345,0.44432
-13.5,0.92735,0.06012,-0.53766,1.09299,0.28261,0.55328,0.31019,0.39176,0.44181
-13.4,0.92657,0.06007,-0.52152,1.08179,0.28343,0.54975,0.30794,0.39006,0.43929
-13.3,0.92583,0.05998,-0.50546,1.07059,0.28421,0.54622,0.3057,0.38836,0.43677
-13.2,0.92513,0.05986,-0.48949,1.05941,0.28496,0.54269,0.30346,0.38665,0.43424
-13.1,0.92448,0.0597,-0.4736,1.04825,0.28567,0.53915,0.30122,0.38493,0.43171
-13,0.92387,0.05951,-0.4578,1.0371,0.28635,0.53561,0.29898,0.38322,0.42917
-12.9,0.9233,0.05929,-0.44208,1.02597,0.287,0.53208,0.29674,0.38149,0.42662
-12.8,0.92277,0.05902,-0.42646,1.01485,0.2876,0.52854,0.29451,0.37976,0.42407
-12.7,0.92228,0.05873,-0.41092,1.00376,0.28818,0.52499,0.29228,0.37803,0.42151
-12.6,0.92183,0.0584,-0.39547,0.99268,0.28871,0.52145,0.29005,0.37629,0.41895
-12.5,0.92142,0.05803,-0.38011,0.98162,0.28922,0.51791,0.28782,0.37454,0.41638
-12.4,0.92104,0.05764,-0.36485,0.97059,0.28969,0.51436,0.2856,0.3728,0.41381
-12.3,0.9207,0.05721,-0.34967,0.95957,0.29012,0.51082,0.28338,0.37104,0.41123
-12.2,0.92039,0.05674,-0.33459,0.94858,0.29052,0.50727,0.28117,0.36928,0.40865
-12.1,0.92012,0.05624,-0.3196,0.93761,0.29089,0.50373,0.27896,0.36752,0.40606
-12,0.91988,0.05571,-0.30471,0.92666,0.29122,0.50018,0.27675,0.36575,0.40347
-11.9,0.91967,0.05515,-0.28991,0.91574,0.29152,0.49663,0.27454,0.36398,0.40087
-11.8,0.91949,0.05456,-0.2752,0.90484,0.29179,0.49309,0.27234,0.3622,0.39827
-11.7,0.91935,0.05393,-0.2606,0.89397,0.29202,0.48954,0.27014,0.36042,0.39567
-11.6,0.91923,0.05327,-0.24609,0.88312,0.29222,0.486,0.26795,0.35863,0.39306
-11.5,0.91914,0.05258,-0.23168,0.8723,0.29239,0.48245,0.26576,0.35684,0.39044
-11.4,0.91908,0.05186,-0.21737,0.86151,0.29253,0.4789,0.26357,0.35504,0.38782
-11.3,0.91904,0.05111,-0.20316,0.85075,0.29263,0.47536,0.26139,0.35324,0.3852
